document_id,country,file_name,relative_path,sha256,size_bytes,status,document_type,source_verified
NZ_NOVA-ZELAN,Nova Zelândia,nova-zelandia_now-underway-dt-implementation_2020.pdf,nova-zelandia/nova-zelandia_now-underway-dt-implementation_2020.pdf,b62fd17b520182ff808006053fa3a5fc9b1f05b7e09a44f9026dc34b076c8942,1124196,available,document,false
PISA_53F23881-E,PISA_OECD_REFERENCE,53f23881-en.pdf,pisa/53f23881-en.pdf,84bb19ca15ba075b780bc0b37498510a5a53e2028bc8fbda19586ac88d21a025,24433470,available,document,false
KE_QUENIA_BAS,Quênia,quenia_basic-education-curriculum-framework_2017.pdf,quenia/quenia_basic-education-curriculum-framework_2017.pdf,75d8742bc3bcb55cc6f7cd8c80f28e7f977d51ee8e9aac7460b774c8850af843,3013826,available,curriculum,true
KE_QUENIA_STA,Quênia,quenia_standards-digital-content-course-materials_cbc_2018.pdf,quenia/quenia_standards-digital-content-course-materials_cbc_2018.pdf,befb10504bd0440b7dd47bee029bc1ac296b49681d8a4da6549a4893ed784d84,520817,available,digital_education,false
UK_REINO-UNID,Reino Unido,reino-unido_computing-curriculum_ks1-ks2_2014.pdf,reino-unido/reino-unido_computing-curriculum_ks1-ks2_2014.pdf,bd55b0672a3619124db463960e240afa2e604221f12220062a24fbf31386a9f1,111202,available,curriculum,false
UK_REINO-UNID,Reino Unido,reino-unido_computing-curriculum_ks3-ks4_2014.pdf,reino-unido/reino-unido_computing-curriculum_ks3-ks4_2014.pdf,83f2c295562bc324832d36864e6134775daa085e5e0884796c46c32d3eaa0f2f,115864,available,curriculum,false
RW_RUANDA_ICT,Ruanda,ruanda_ict-syllabus.pdf,ruanda/ruanda_ict-syllabus.pdf,1ab9e309d4b00ec74d064f283652df53c9067db89299e7d89925866f62b7b69a,793144,available,document,false
SG_7155_Y25_S,Singapura,7155_y25_sy.pdf,singapura/7155_y25_sy.pdf,907bb19617c96f51b8ecbeb35c7e629037fa2d306bbc31ffc39a6d492d940f71,243033,available,document,false
SG_DENITRADU_,Singapura,denitradu_olevelcomputingteach.pdf,singapura/denitradu_olevelcomputingteach.pdf,98b374f829309a69b29d648147909db03e05694ad72e2312e375bc7c5d31147a,161673,available,document,false
SG_ETHOS DA P,Singapura,ethos da profissão de ensino_singapura.pdf,singapura/ethos da profissão de ensino_singapura.pdf,982c455dc61794f19ce60b1736b1069643e05737a7113a37a81495a1e7781b41,59813,available,document,false
SG_FRAMEWORK ,Singapura,framework and guidelines _ moe - nurturing early learners portal_singapura rever.pdf,singapura/framework and guidelines _ moe - nurturing early learners portal_singapura rever.pdf,f37beb7ec8fc9727e8330f765724aa1f7f0a5f667a9a3e7e503c71782171c6cb,3094432,available,document,false
SG_INTELIGÊNC,Singapura,inteligência artificial na educação _ moe_singapura.pdf,singapura/inteligência artificial na educação _ moe_singapura.pdf,764e426ab4f32e59c5efa0dc7ad43483c64dab9f68ba3af757aadd0defbbf936,603580,available,document,false
SG_MEXT_ VISÃ,Singapura,mext_ visão geral_.pdf,singapura/mext_ visão geral_.pdf,eb499ef9dcab87b31e897f877c6e28e1083c18064ddc834e1d8b3f52585b01fd,98200,available,document,false
SG_MOEICT GUI,Singapura,moeict guidelines_final_edited_singapura.pdf,singapura/moeict guidelines_final_edited_singapura.pdf,65e3ffbbd3c08d2a484355a2cbf239a2ca218f298530b12b7306fd640ab85066,3462099,available,document,false
SG_MOEICT GUI,Singapura,moeict guidelines_final_edited_tecnologia_singapura.pdf,singapura/moeict guidelines_final_edited_tecnologia_singapura.pdf,65e3ffbbd3c08d2a484355a2cbf239a2ca218f298530b12b7306fd640ab85066,3462099,available,digital_education,false
SG_NEL FRAMEW,Singapura,nel framework 2022_v2_curriculo_singapura_2022.pdf,singapura/nel framework 2022_v2_curriculo_singapura_2022.pdf,cb1aba299df12b5192ab4e47df10cfcdc597e29a215b638d6f5754d6f33e9327,1556975,available,curriculum,false
SG_NEL FRAMEW,Singapura,nel framework 2022_v2_singapura.pdf,singapura/nel framework 2022_v2_singapura.pdf,cb1aba299df12b5192ab4e47df10cfcdc597e29a215b638d6f5754d6f33e9327,1556975,available,document,false
SG_O MODELO ',Singapura,o modelo 'linha dura' de educação que pôs um pequeno país asiático no topo de ranking mundial - bbc news brasil_singapura.pdf,singapura/o modelo 'linha dura' de educação que pôs um pequeno país asiático no topo de ranking mundial - bbc news brasil_singapura.pdf,5f6cef1b4bfdf7e973c9552a13c78c03efb545347a0549850da64638bdcf664a,1991970,available,document,false
SG_O-LEVEL-CO,Singapura,o-level-computing-teaching-and-learning-syllabus.pdf,singapura/o-level-computing-teaching-and-learning-syllabus.pdf,fa06ac674b05f859e7f844b0425de189810cb5d5ec77eeb4e37ab1d69b160a1a,1042423,available,document,false
SG_PDPC _ SIN,Singapura,pdpc _ singapore’s approach to ai governance_singapura.pdf,singapura/pdpc _ singapore’s approach to ai governance_singapura.pdf,6f0d573667aed134c4f45ab199938d55272addf3ea27a350569e16d8e4826ff0,559331,available,document,true
SG_SGMODELAIG,Singapura,sgmodelaigovframework2_singapura.pdf,singapura/sgmodelaigovframework2_singapura.pdf,f2d199c826207a259c1c67b8379c0e2b0028fecf142129df9bf16447abcfb2d4,1543277,available,document,true
SG_SINGAPURA_,Singapura,singapura_e_brasil_diretrizes_de_computação.pdf,singapura/singapura_e_brasil_diretrizes_de_computação.pdf,52b7282792c342f1c859470eb31323aee50d0580c28c728e56e247d323522323,11956889,available,document,false
SG_SINGAPURA_,Singapura,singapura_g3-computing-syllabus_2024.pdf,singapura/singapura_g3-computing-syllabus_2024.pdf,42b3660a01d8a61460d1f25f51c9db23b16bae7139cb69729734e2952134f0b5,794379,available,document,false
SG_SINGAPURA_,Singapura,singapura_h2-computing-syllabus.pdf,singapura/singapura_h2-computing-syllabus.pdf,33170e8cba6ac0981c589f3bdb16438d7bc7214e92eebd998155f0b1653fee86,559470,available,document,false
SG_SINGAPURA_,Singapura,singapura_o-level-computing-syllabus_2021.pdf,singapura/singapura_o-level-computing-syllabus_2021.pdf,8b0bb1ae87084227ba8b0c06ad8099ef9648326b506426ef0619006524280140,775121,available,document,false
CH_EN33_PER_E,Suíça,"en33_per_education numerique_suíça francófona — plan d’études romand, éducation numérique.pdf","suica/en33_per_education numerique_suíça francófona — plan d’études romand, éducation numérique.pdf",0cfed0cbe63925b39e05d85221ce80a31ab4a70f24031b22bfda95ea8d8b97c7,1796988,available,document,true
CH_TECNOLOGIE,Suíça,"tecnologie-e-media-modello-di-competenza_cantão do ticino — piano di studio, tecnologie e media.pdf","suica/tecnologie-e-media-modello-di-competenza_cantão do ticino — piano di studio, tecnologie e media.pdf",98bd2d730679daba59d8a23b207131c7df2ef09cfd007bb4f22a94fb5f5bf202,738558,available,competence_framework,false
CH_ZH_DE_MODU,Suíça,"zh_de_modul_mi_suíça alemã — lehrplan 21, medien und informatik.pdf","suica/zh_de_modul_mi_suíça alemã — lehrplan 21, medien und informatik.pdf",bb269d4129774b30639fa280c62ca7c59554f8dab3d6c7d948d30f798c8ff6cc,3770685,available,document,false
TW_TAIWAN_TEC,Taiwan,taiwan_technology-domain-information-technology_2019.pdf,taiwan/taiwan_technology-domain-information-technology_2019.pdf,a346fa6c78d57bd2860b657b1cce96309c7939b6e5d9d6946d5cba344d55cc04,1204887,available,document,false
UN_234132PORE,UNESCO_REFERENCE,234132poreducação técnica.pdf,Unesco/234132poreducação técnica.pdf,d325e8ff44b7b130410923d64065155fe7d1af4a6ff119c195c4009ebb2cf98d,2000863,available,document,true
UN_244826PORE,UNESCO_REFERENCE,244826poreducação para a cidadania global2015.pdf,Unesco/244826poreducação para a cidadania global2015.pdf,c23837566bbc6a45aa065b19300f0695a96f74b8a3e9993d45b35fda5eac2b2f,716523,available,document,true
UN_371391PORU,UNESCO_REFERENCE,371391porum guia para formuladores de políticas.pdf,Unesco/371391porum guia para formuladores de políticas.pdf,5abb18928c4a6d2e90ef63f4848757c9702846849ab3c7c2e6064148aaf631be,682796,available,policy,true
UN_374309ENG.,UNESCO_REFERENCE,374309eng.pdf,Unesco/374309eng.pdf,89248690aea74ce2042c5741f03e9e040475d414bc866c240f7c50e49c915971,11159669,available,document,true
UN_375503PORU,UNESCO_REFERENCE,375503porum guia para professores da educação secundária.pdf,Unesco/375503porum guia para professores da educação secundária.pdf,2831f11e109ab1e85c6e0e5624e41ccb414aa1efa5cc4dfa6f273b4390ae6baf,2526123,available,document,true
UN_381115POR_,UNESCO_REFERENCE,381115por_unesco reimaginando a educação futuro_2021.pdf,Unesco/381115por_unesco reimaginando a educação futuro_2021.pdf,faa5f14818a5cca73d2f78990fd8ed55298ff870c42dd01f7c28eedafc3a4848,1082172,available,document,true
UY_URUGUAI_EN,Uruguai,uruguai_en-el-camino-del-plan-ceibal_2009.pdf,uruguai/uruguai_en-el-camino-del-plan-ceibal_2009.pdf,ae4d003ba4ca1ab5553e7b0a063611ae63e5445532c3f3c99ec4909c638108c8,4949539,available,document,false
UY_URUGUAI_PL,Uruguai,uruguai_plan-ceibal-in-uruguay.pdf,uruguai/uruguai_plan-ceibal-in-uruguay.pdf,1095d5e35de62c845a212d43cf0ae381752f13e73d9be22950272e6868dd2b76,11187368,available,document,false
UY_URUGUAI_TE,Uruguai,uruguai_tecnologias-digitales_2023.pdf,uruguai/uruguai_tecnologias-digitales_2023.pdf,b547b16a130399386e0d3b926abcdfc05e39eac2652afe09b2ea1af4d277bd8a,614465,available,digital_education,false
